action step turn car_x car_v visibility finished seen_ped ped_x ped_y
- 0 0 25 0 1 0 0 54 1
Car 1 1 25 0 1 0 1 54 1
Car 2 2 26 1 1 0 1 54 1
Pedestrian 3 0 26 1 1 0 1 55 1
Car 4 1 26 1 1 0 1 55 1
Car 5 2 28 2 1 0 1 55 1
Pedestrian 6 0 28 2 1 0 1 56 1
Car 7 1 28 2 1 0 1 56 1
Car 8 2 32 4 1 0 1 56 1
Pedestrian 9 0 32 4 1 0 1 57 1
Car 10 1 32 4 1 0 1 57 1
Car 11 2 36 4 1 0 1 57 1
Pedestrian 12 0 36 4 1 0 1 58 1
Car 13 1 36 4 0 0 1 58 1
Car 14 2 39 3 0 0 1 58 1
Pedestrian 15 0 39 3 0 0 1 59 1
Car 16 1 39 3 0 0 1 59 1
Car 17 2 41 2 0 0 1 59 1
Pedestrian 18 0 41 2 0 0 1 60 1
Car 19 1 41 2 0 0 1 60 1
Car 20 2 43 2 0 0 1 60 1
Pedestrian 21 0 43 2 0 0 1 61 1
Car 22 1 42 2 0 0 1 61 1
Car 23 2 45 2 0 0 1 61 1
Pedestrian 24 0 45 2 0 0 1 62 1
Car 25 1 45 2 0 0 1 62 1
Car 26 2 47 2 0 0 1 62 1
Pedestrian 27 0 47 2 0 0 1 63 1
Car 28 1 47 2 0 0 1 63 1
Car 29 2 48 1 0 0 1 63 1
Pedestrian 30 0 48 1 0 0 1 63 1
Car 31 1 48 1 0 0 1 63 1
Car 32 2 50 2 0 0 1 63 1
Pedestrian 33 0 50 2 0 0 1 63 2
Car 34 1 50 2 0 0 1 63 2
Car 35 2 52 2 0 0 1 63 2
Pedestrian 36 0 52 2 0 0 1 63 3
Car 37 1 52 2 0 0 1 63 3
Car 38 2 56 4 0 0 1 63 3
Pedestrian 39 0 56 4 0 0 1 63 4
Car 40 1 56 4 0 0 1 63 4
Car 41 2 60 4 0 0 1 63 4
Pedestrian 42 0 60 4 0 0 1 63 5
Car 43 1 60 4 1 0 1 63 5
Car 44 1 60 4 1 1 1 63 5
