action step turn car_x car_v visibility finished seen_ped ped_x ped_y
- 0 0 27 0 1 0 0 50 1
Car 1 1 27 0 1 0 1 50 1
Car 2 2 28 1 1 0 1 50 1
Pedestrian 3 0 28 1 1 0 1 50 2
Car 4 1 28 1 1 0 1 50 2
Car 5 2 31 3 1 0 1 50 2
Pedestrian 6 0 31 3 1 0 1 51 2
Car 7 1 31 3 1 0 1 51 2
Car 8 2 34 3 1 0 1 51 2
Pedestrian 9 0 34 3 1 0 1 52 2
Car 10 1 34 3 1 0 1 52 2
Car 11 2 35 1 1 0 1 52 2
Pedestrian 12 0 35 1 1 0 1 53 2
Car 13 1 35 1 1 0 1 53 2
Car 14 2 37 2 1 0 1 53 2
Pedestrian 15 0 37 2 1 0 1 54 2
Car 16 1 37 2 1 0 1 54 2
Car 17 2 39 2 1 0 1 54 2
Pedestrian 18 0 39 2 1 0 1 55 2
Car 19 1 39 2 1 0 1 55 2
Car 20 2 41 2 1 0 1 55 2
Pedestrian 21 0 41 2 1 0 1 56 2
Car 22 1 41 2 0 0 1 56 2
Car 23 2 43 2 0 0 1 56 2
Pedestrian 24 0 43 2 0 0 1 57 2
Car 25 1 43 2 0 0 1 57 2
Car 26 2 45 2 0 0 1 57 2
Pedestrian 27 0 45 2 0 0 1 58 2
Car 28 1 45 2 0 0 1 58 2
Car 29 2 46 1 0 0 1 58 2
Pedestrian 30 0 46 1 0 0 1 59 2
Car 31 1 46 1 0 0 1 59 2
Car 32 2 48 2 0 0 1 59 2
Pedestrian 33 0 48 2 0 0 1 60 2
Car 34 1 48 2 0 0 1 60 2
Car 35 2 50 2 0 0 1 60 2
Pedestrian 36 0 50 2 0 0 1 61 2
Car 37 1 50 2 0 0 1 61 2
Car 38 2 52 2 0 0 1 61 2
Pedestrian 39 0 52 2 0 0 1 62 2
Car 40 1 52 2 0 0 1 62 2
Car 41 2 53 1 0 0 1 62 2
Pedestrian 42 0 53 1 0 0 1 63 2
Car 43 1 53 1 0 0 1 63 2
Car 44 2 54 1 0 0 1 63 2
Pedestrian 45 0 54 1 0 0 1 64 2
Car 46 1 54 1 0 0 1 64 2
Car 47 2 56 2 0 0 1 64 2
Pedestrian 48 0 56 2 0 0 1 65 2
Car 49 1 56 2 0 0 1 65 2
Car 50 2 58 2 0 0 1 65 2
Pedestrian 51 0 58 2 0 0 1 66 2
Car 52 1 58 2 0 0 1 66 2
Car 53 2 59 1 0 0 1 66 2
Pedestrian 54 0 59 1 0 0 1 67 2
Car 55 1 59 1 1 0 1 67 2
Car 56 2 61 2 1 0 1 67 2
Pedestrian 57 0 61 2 1 0 1 67 2
Car 58 1 61 2 1 0 1 67 2
Car 59 2 63 2 1 0 1 67 2
Pedestrian 60 0 63 2 1 0 1 67 3
Car 61 1 63 2 1 0 1 67 3
Car 62 2 63 0 1 0 1 67 3
Pedestrian 63 0 63 0 1 0 1 67 4
Car 64 1 63 0 1 0 1 67 4
Car 65 2 65 2 1 0 1 67 4
Pedestrian 66 0 65 2 1 0 1 67 5
Car 67 1 65 2 1 0 1 67 5
Car 68 1 65 2 1 1 1 67 5
Car 69 1 65 2 1 1 1 67 5
