action step turn car_x car_v visibility finished seen_ped ped_x ped_y
- 0 0 27 0 1 0 0 50 1
Car 1 1 27 0 1 0 1 50 1
Car 2 2 28 1 1 0 1 50 1
Pedestrian 3 0 28 1 1 0 1 50 2
Car 4 1 28 1 1 0 1 50 2
Car 5 2 31 3 1 0 1 50 2
Pedestrian 6 0 31 3 1 0 1 50 3
Car 7 1 31 3 1 0 1 50 3
Car 8 2 32 1 1 0 1 50 3
Pedestrian 9 0 32 1 1 0 1 50 4
Car 10 1 32 1 1 0 1 50 4
Car 11 2 32 0 1 0 1 50 4
Pedestrian 12 0 32 0 1 0 1 50 4
Car 13 1 32 0 1 0 1 50 4
Car 14 2 34 2 1 0 1 50 4
Pedestrian 15 0 34 2 1 0 1 50 5
Car 16 1 34 2 1 0 1 50 5
Car 17 2 36 2 1 0 1 50 5
Pedestrian 18 0 36 2 1 0 1 50 5
Car 19 1 36 2 1 0 1 50 5
Car 20 2 38 2 1 0 1 50 5
Pedestrian 21 0 38 2 1 0 1 50 6
Car 22 1 38 2 1 0 1 50 6
Car 23 2 41 3 1 0 1 50 6
Pedestrian 24 0 41 3 1 0 1 50 6
Car 25 1 41 3 1 0 1 50 6
Car 26 2 42 1 1 0 1 50 6
Pedestrian 27 0 42 1 1 0 1 50 7
Car 28 1 42 1 1 0 1 50 7
Car 29 2 45 3 1 0 1 50 7
Pedestrian 30 0 45 3 1 0 1 50 8
Car 31 1 45 3 1 0 1 50 8
Car 32 2 48 3 1 0 1 50 8
Pedestrian 33 0 48 3 1 0 1 50 9
Car 34 1 48 3 1 0 1 50 9
Car 35 2 49 1 1 0 1 50 9
Pedestrian 36 0 49 1 1 0 1 50 10
Car 37 1 49 1 1 0 1 50 10
Car 38 2 52 3 1 0 1 50 10
Pedestrian 39 0 52 3 1 0 1 50 11
Car 40 1 52 3 1 0 1 50 11
Car 41 2 56 4 1 0 1 50 11
Pedestrian 42 0 56 4 1 0 1 50 11
Car 43 1 56 4 1 0 1 50 11
Car 44 2 60 4 1 0 1 50 11
Pedestrian 45 0 60 4 1 0 1 50 11
Car 46 1 60 4 1 0 1 50 11
Car 47 2 64 4 1 0 1 50 11
Pedestrian 48 0 64 4 1 0 1 50 11
Car 49 1 64 4 1 0 1 50 11
Car 50 2 68 4 1 0 1 50 11
Pedestrian 51 0 68 4 1 0 1 50 12
Car 52 1 68 4 1 0 1 50 12
Car 53 2 71 3 1 0 1 50 12
Pedestrian 54 0 71 3 1 0 1 50 12
Car 55 1 71 3 1 0 1 50 12
Car 56 2 74 3 1 0 1 50 12
Pedestrian 57 0 74 3 1 0 1 50 13
Car 58 1 74 3 1 0 1 50 13
Car 59 2 75 4 1 0 1 50 13
Pedestrian 60 0 75 4 1 0 1 50 14
Car 61 1 75 4 1 0 1 50 14
Car 62 1 75 4 1 1 1 50 14
Car 63 1 75 4 1 1 1 50 14
